region_id,image_id,tile_id,area,foci_count_rad51,foci_count_probs,foci_fraction_rad51,foci_fraction_probs
1,A1,tile_01,187.0,0,0,0.0,0.0
2,A1,tile_01,131.0,0,0,0.0,0.0
3,A1,tile_01,797.0,9,2,0.035475952173535934,0.007883545146832054
4,A1,tile_01,312.0,2,0,0.020138414446088417,0.0
5,A1,tile_01,1635.0,6,0,0.01152878038014603,0.0
6,A1,tile_01,1085.0,3,0,0.008686431300248276,0.0
7,A1,tile_01,1624.0,10,5,0.019344782349690844,0.007737913155203382
8,A1,tile_01,1318.0,4,0,0.011388339580539631,0.0
9,A1,tile_01,1245.0,14,5,0.03728976554461781,0.012616838508820437
10,A1,tile_01,1358.0,4,1,0.009253586608511909,0.0
11,A1,tile_01,922.0,6,4,0.020444203819456355,0.010222101935595597
12,A1,tile_01,1708.0,11,1,0.02166333731983594,0.0018393400123024434
13,A1,tile_01,703.0,5,3,0.025819949104894775,0.013406512069159517
14,A1,tile_01,1219.0,14,14,0.04467126551453903,0.03350345026380806
15,A1,tile_01,1348.0,11,18,0.03573522800819251,0.030297259548651357
16,A1,tile_01,1241.0,6,2,0.015189005577388202,0.0025315010000101315
17,A1,tile_01,933.0,1,0,0.003367194698381343,0.0
18,A1,tile_01,1451.0,15,3,0.032476836529184636,0.006495367322273701
19,A1,tile_01,257.0,1,0,0.012224095928364953,0.0
20,A1,tile_01,1169.0,12,6,0.041207089268642846,0.01343709490460346
21,A1,tile_01,880.0,9,5,0.03212992486625925,0.0035699917511506515
22,A1,tile_01,395.0,0,0,0.0,0.0
23,A1,tile_01,401.0,3,0,0.02350318693458698,0.0
24,A1,tile_01,1272.0,6,1,0.014818833271649968,0.0
25,A1,tile_01,1260.0,16,3,0.039893240045584685,0.004986655144464402
26,A1,tile_01,1161.0,8,0,0.02164749459837928,0.0
27,A1,tile_01,1121.0,6,5,0.018994662688965942,0.014012456684640004
28,A1,tile_01,1004.0,6,1,0.01877445808918203,0.0031290764352714874
29,A1,tile_01,1185.0,4,2,0.010604532164016179,0.002651133114778543
30,A1,tile_01,1046.0,1,0,0.0030034346592636646,0.0
31,A1,tile_01,1851.0,1,0,0.0016972407636897855,0.0
32,A1,tile_01,1337.0,5,2,0.01174866362599025,0.004699465581170641
33,A1,tile_01,1186.0,2,2,0.007358049123078961,0.005297795516041439
34,A1,tile_01,765.0,6,2,0.024639942381096416,0.008213314355588426
35,A1,tile_01,788.0,4,1,0.01594717083040504,0.0
36,A1,tile_01,1488.0,1,0,0.0021112853854770115,0.0
