image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_01,1,187.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_01,2,131.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_01,3,797.0,9,0.09460253912942915,9,0.035475952173535934,7,0.027592407246083504,4,0.16555445346808345,4,0.16555445346808345,3,0.10248608750710674
A1,tile_01,4,312.0,4,0.04027682889217683,2,0.020138414446088417,2,0.020138414446088417,2,0.201384153121557,2,0.201384153121557,2,0.201384153121557
A1,tile_01,5,1635.0,11,0.02113609736360105,6,0.01152878038014603,2,0.00384292679338201,7,0.05123902767076405,3,0.03181089815378918,2,0.024125043769859758
A1,tile_01,6,1085.0,4,0.011581908400331034,3,0.008686431300248276,2,0.005790954200165517,3,0.027667893792077694,2,0.019624901696833598,2,0.019624901696833598
A1,tile_01,7,1624.0,21,0.043633231299858244,10,0.019344782349690844,5,0.009672391174845422,11,0.09264002644956992,4,0.05459528016339382,2,0.03632520337410161
A1,tile_01,8,1318.0,12,0.03045718725028041,4,0.011388339580539631,0,0.0,7,0.07309725215836613,3,0.042640066653354396,2,0.03310564182958762
A1,tile_01,9,1245.0,19,0.0499066035108419,14,0.03728976554461781,11,0.029719662764883362,6,0.11355154504737701,3,0.03813089271147088,0,0.0
A1,tile_01,10,1358.0,13,0.035472081999295656,4,0.009253586608511909,4,0.009253586608511909,7,0.08945134181161692,6,0.07300051884377301,2,0.019021263178739704
A1,tile_01,11,922.0,13,0.04429577494215544,6,0.020444203819456355,5,0.017036836516213627,6,0.12417960839261202,2,0.06436138608191898,1,0.018551224483067973
A1,tile_01,12,1708.0,21,0.04148733467855375,11,0.02166333731983594,5,0.009196699805590729,11,0.12221395773965804,7,0.09728066759310505,6,0.09217138536082498
A1,tile_01,13,703.0,8,0.0392264611401286,5,0.025819949104894775,3,0.01688227441473889,3,0.21450419310655228,2,0.14300279902190946,2,0.14300279902190946
A1,tile_01,14,1219.0,20,0.06213887574778827,14,0.04467126551453903,12,0.03751240886156803,9,0.2663094549515484,1,0.041235015468581764,0,0.0
A1,tile_01,15,1348.0,23,0.06551458468168628,11,0.03573522800819251,5,0.015796006583331468,10,0.22735892276028144,7,0.1545937195729785,3,0.09115073093674657
A1,tile_01,16,1241.0,11,0.029815455392650916,6,0.015189005577388202,5,0.012657504647823501,7,0.07200714160510362,3,0.04894235689346105,3,0.04894235689346105
A1,tile_01,17,933.0,3,0.018706637213229682,1,0.003367194698381343,0,0.0,5,0.07781961978695656,5,0.07781961978695656,1,0.018332506938251523
A1,tile_01,18,1451.0,23,0.04979781601141646,15,0.032476836529184636,10,0.021651224352789752,5,0.07601985497609408,3,0.052684649855904875,1,0.011787890402059733
A1,tile_01,19,257.0,2,0.024448191856729907,1,0.012224095928364953,0,0.0,1,0.1358233054788196,1,0.1358233054788196,1,0.1358233054788196
A1,tile_01,20,1169.0,13,0.04389450813398912,12,0.041207089268642846,7,0.023589565595817284,8,0.1275031071019234,4,0.08002536535467013,3,0.040012685940549145
A1,tile_01,21,880.0,11,0.1146363985969003,9,0.03212992486625925,5,0.017849958259032916,7,0.1749296014959162,3,0.128519699790261,1,0.05711986801841042
A1,tile_01,22,395.0,3,0.023860197369036402,0,0.0,0,0.0,1,0.05655751288691654,1,0.05655751288691654,1,0.05655751288691654
A1,tile_01,23,401.0,3,0.02350318693458698,3,0.02350318693458698,2,0.015668791289724655,1,0.08704885164103901,1,0.08704885164103901,1,0.08704885164103901
A1,tile_01,24,1272.0,10,0.024698055452749945,6,0.014818833271649968,2,0.004939611090549989,4,0.06641032860713934,4,0.06641032860713934,2,0.016739794293289666
A1,tile_01,25,1260.0,21,0.05429913228426805,16,0.039893240045584685,10,0.024933275028490423,12,0.19918917701357886,10,0.16428258986700148,9,0.15070780193994915
A1,tile_01,26,1161.0,12,0.03247124189756892,8,0.02164749459837928,4,0.01082374729918964,6,0.11936188401280551,6,0.08358338821765988,4,0.0652431517608406
A1,tile_01,27,1121.0,10,0.03020462755458518,6,0.018994662688965942,5,0.01619217147256113,6,0.21610323304474938,4,0.1460409445171373,3,0.12081852010272635
A1,tile_01,28,1004.0,10,0.0361582155791654,6,0.01877445808918203,4,0.012516305392788021,6,0.14011310106254668,4,0.11229907943907962,3,0.062233856474735824
A1,tile_01,29,1185.0,10,0.02651133041004045,4,0.010604532164016179,3,0.007953399123012135,3,0.07364258585096914,2,0.0497823884215536,1,0.04241812983645669
A1,tile_01,30,1046.0,4,0.017353178031301174,1,0.0030034346592636646,0,0.0,5,0.06140355535036747,2,0.02469490955710183,2,0.02469490955710183
A1,tile_01,31,1851.0,4,0.006788963054759142,1,0.0016972407636897855,1,0.0016972407636897855,1,0.006788963243679251,1,0.006788963243679251,0,0.0
A1,tile_01,32,1337.0,7,0.01644812907638635,5,0.01174866362599025,4,0.009398930900792201,5,0.10417150185013674,3,0.07649686324034685,3,0.07649686324034685
A1,tile_01,33,1186.0,5,0.015304742176004239,2,0.007358049123078961,2,0.007358049123078961,5,0.06916566562491766,5,0.06916566562491766,3,0.051212027744338244
A1,tile_01,34,765.0,9,0.04426063724011763,6,0.024639942381096416,2,0.00821331412703214,5,0.13415080550449346,2,0.08213314480251736,1,0.06570651484470741
A1,tile_01,35,788.0,6,0.023920756245607563,4,0.01594717083040504,1,0.00398679270760126,4,0.0872664669443508,4,0.0872664669443508,3,0.0478415126122799
A1,tile_01,36,1488.0,2,0.004222570770954023,1,0.0021112853854770115,1,0.0021112853854770115,1,0.00844514177691552,1,0.00844514177691552,1,0.00844514177691552
A1,tile_01,37,926.0,3,0.010177945961953974,1,0.003392648653984658,1,0.003392648653984658,2,0.03204168562755214,2,0.03204168562755214,1,0.01847108960409144
A1,tile_01,38,1363.0,5,0.011524551187049864,1,0.002304910237409973,1,0.002304910237409973,2,0.021768599333171886,1,0.009219641206199775,1,0.009219641206199775
A1,tile_01,39,2609.0,19,0.022878597323957875,13,0.015653777116392223,12,0.014449640415131283,13,0.06876960774864352,11,0.06207995343455047,8,0.05204547196341091
A1,tile_01,40,787.0,5,0.01995929258951584,4,0.015967434071612673,2,0.007983717035806337,3,0.0913692120524192,3,0.0913692120524192,2,0.08028071596177136
A1,tile_01,41,1317.0,7,0.016697910839125703,4,0.009541663336643259,3,0.007156247502482445,4,0.029420129983101093,4,0.029420129983101093,3,0.022793974764164233
